Telemetry_UID,State,District,Tahsil,Block,Village,Latitude,Longitude,Date & Time,Battery (V),Water Temperature (°C),Water Level (m),Barometric Pressure (mH2O),DWLR Depth(m),Well Depth(m)
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,24-05-2024 18:00,3.41,27.07,-7.92,957.96,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,25-05-2024 00:00,3.41,27.05,-7.9,960.69,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,25-05-2024 06:00,3.41,27.01,-7.88,961.08,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,25-05-2024 12:00,3.41,27.05,-7.88,961.82,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,25-05-2024 18:00,3.41,27.05,-7.93,958.53,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,26-05-2024 00:00,3.41,27.01,-7.91,960.57,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,26-05-2024 06:00,3.41,27.05,-7.89,960.81,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,26-05-2024 12:00,3.41,27.07,-7.91,960.61,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,26-05-2024 18:00,3.41,27.01,-7.98,957.37,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,27-05-2024 00:00,3.41,27.03,-7.95,959.29,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,27-05-2024 06:00,3.41,27.03,-7.92,958.64,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,27-05-2024 12:00,3.41,27.05,-7.95,958.58,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,27-05-2024 18:00,3.41,27.07,-7.95,955.31,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,28-05-2024 00:00,3.41,26.99,-7.93,957.53,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,28-05-2024 06:00,3.41,27.07,-7.91,958.22,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,28-05-2024 12:00,3.41,26.99,-7.9,959.02,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,28-05-2024 18:00,3.41,27.07,-7.93,956.24,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,29-05-2024 00:00,3.41,27.05,-7.92,958.96,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,29-05-2024 06:00,3.41,27.05,-7.92,959.22,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,29-05-2024 12:00,3.41,27.1,-7.93,960.52,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,29-05-2024 18:00,3.41,27.03,-7.95,957.97,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,30-05-2024 00:00,3.41,27.05,-7.93,961.46,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,30-05-2024 06:00,3.41,27.03,-7.93,962.34,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,30-05-2024 12:00,3.41,27.07,-7.93,963.31,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,30-05-2024 18:00,3.41,27.03,-7.99,960.43,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,31-05-2024 00:00,3.41,27.07,-7.97,962.73,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,31-05-2024 06:00,3.41,27.03,-7.96,963.92,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,31-05-2024 12:00,3.41,27.03,-7.98,964.63,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,31-05-2024 18:00,3.41,26.99,-8,961.54,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,01-06-2024 00:00,3.41,27.05,-7.97,963.18,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,01-06-2024 06:00,3.57,27.07,-7.95,964.25,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,01-06-2024 12:00,3.57,27.05,-7.95,965.27,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,01-06-2024 18:00,3.57,27.03,-8,962.09,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,02-06-2024 00:00,3.57,27.05,-7.98,964.38,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,02-06-2024 06:00,3.57,27.05,-7.96,965.38,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,02-06-2024 12:00,3.57,27.07,-7.95,965.75,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,02-06-2024 18:00,3.57,27.07,-7.94,962.19,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,03-06-2024 00:00,3.57,27.03,-7.93,964.67,-11.9,-26.9
